date,place
31-Dec-24,LAX
31-Dec-24,LIH
1-Jan-25,"Lihue, HI"
5-Jan-25,"Kailua-Kona, HI"
12-Jan-25,"Hilo, HI"
12-Jan-25,"Honolulu, HI"
29-Jan-25,"Honolulu, HI"
29-Jan-25,LAX
14-Feb-25,"Stevenson Ranch, CA"
15-Feb-25,"Tucson, AZ"
16-Feb-25,"Junction, TX"
17-Feb-25,"Kyle, TX"
17-Feb-25,"Buda, TX"
18-Feb-25,"Lago Vista, TX"
18-Apr-25,"New Orleans, LA"
20-Apr-25,"Kissimmee, FL"
3-May-25,"Gainesville, FL"
4-May-25,"Huntsville, AL"
5-May-25,"Atlanta, GA"
10-May-25,"Pigeon Forge, TN"
10-May-25,"Charlotte, NC"
11-May-25,"Raleigh, NC"
23-May-25,"Fredericksburg, VA"
24-May-25,"Monmouth Junction, NJ"
25-May-25,"Long Beach, NY"
25-May-25,"West Haven, CT"
1-Jun-25,"Rossford, OH"
2-Jun-25,"Munster, IN"
2-Jun-25,"Niagara Falls, NY"
3-Jun-25,"Chicago, IL"
5-Jun-25,"Madison, WI"
5-Jun-25,"Menomonie, WI"
6-Jun-25,"Dickinson, ND"
6-Jun-25,"Williston, ND"
7-Jun-25,"Brooks, Canada"
8-Jun-25,"Canmore, AB, Canada"
9-Jun-25,"Swift Current, SK, Canada"
10-Jun-25,"Banff, AB, Canada"
12-Jun-25,"Moraine Lake & Lake Louise, AB"
13-Jun-25,"Skywalk, Canada"
28-Jun-25,"Banff, AB"
5-Jul-25,"Calgary, Canada"
5-Jul-25,"Greenfield, MT"
6-Jul-25,"Bozeman, MT"
13-Jul-25,"Cody, WY"
14-Jul-25,"Rapid City, SD"
19-Jul-25,"Iowa City, IA"
20-Jul-25,"Chicago, IL"
23-Aug-25,"Lansing, MI"
24-Aug-25,"London, ON, Canada"
25-Aug-25,"Oshawa, ON, Canada"
30-Aug-25,"Gananoque, ON, Canada"
31-Aug-25,"Victoriaville, QC"
31-Aug-25,"Quebec City, QC"
1-Sep-25,"Burlington, VT"
2-Sep-25,"Killington, VT"
27-Sep-25,"Lincoln, NH"
29-Sep-25,"Killington, VT"
10-Oct-25,"Ithaca, NY"
10-Oct-25,"Schenectady, NY"
11-Oct-25,"Wauseon, OH"
12-Oct-25,"Chicago, IL"
18-Oct-25,"York, NE"
19-Oct-25,"Golden, CO"
20-Oct-25,"Panguitch, UT"
27-Oct-25, Bryce Canyon
31-Oct-25,"Springdale, UT"
2-Nov-25,"Long Beach, CA"
