date,place,type,
31-Mar-25,"Katy, TX",,purchase
18-Apr-25,"New Orleans, LA",car,
19-Apr-25,"gulfport, ms",car,
20-Apr-25,"Kissimmee, FL",car,
3-May-25,"Gainesville, FL",car,
4-May-25,"Huntsville, AL",car,
5-May-25,"Atlanta, GA",car,
10-May-25,"Pigeon Forge, TN",car,
10-May-25,"Charlotte, NC",car,
11-May-25,"Raleigh, NC",car,
23-May-25,"Fredericksburg, VA",car,
24-May-25,"Monmouth Junction, NJ",car,
25-May-25,"Long Beach, NY",car,
25-May-25,"West Haven, CT",car,
25-May-25,"Cambridge, MA 02138",car,
30-May-25,"Albany, NY 12210",car,
31-May-25,"Niagara Falls, NY 14303",car,
1-Jun-25,"Cleveland, OH 44115",car,
1-Jun-25,"Rossford, OH",car,
2-Jun-25,"Munster, IN",car,
3-Jun-25,"Chicago, IL",car,
5-Jun-25,"Chicago, IL 60666",car,
5-Jun-25,"Madison, WI",car,
5-Jun-25,"Menomonie, WI",car,
5-Jun-25,"maple grove, MN 55369",car,
6-Jun-25,"Dickinson, ND",car,
6-Jun-25,"Williston, ND",car,
7-Jun-25,"Brooks, AB, Canada",car,
8-Jun-25,"Canmore, AB, Canada",car,
9-Jun-25,"Swift Current, SK, Canada",car,
10-Jun-25,"Banff, AB, Canada",car,
12-Jun-25,"Moraine Lake, AB",car,
12-Jun-25,"Lake Louise, AB",car,
13-Jun-25,"Icefields Pkwy 12 AB, Canada",car,
28-Jun-25,"Banff, AB",car,
5-Jul-25,"Calgary, Canada",car,
5-Jul-25,"Greenfield, MT",car,
6-Jul-25,"Bozeman, MT",car,
13-Jul-25,"Cody, WY",car,
14-Jul-25,"Rapid City, SD",car,
19-Jul-25,"Iowa City, IA",car,
20-Jul-25,"Chicago, IL",car,
23-Aug-25,"Lansing, MI",car,
24-Aug-25,"London, ON, Canada",car,
25-Aug-25,"Oshawa, ON, Canada",car,
30-Aug-25,"Gananoque, ON, Canada",car,
31-Aug-25,"Victoriaville, QC",car,
31-Aug-25,"Quebec City, QC",car,
1-Sep-25,"Burlington, VT",car,
2-Sep-25,"Killington, VT",car,
27-Sep-25,"Lincoln, NH",car,
29-Sep-25,"Killington, VT",car,
10-Oct-25,"Schenectady, NY",car,
10-Oct-25,"Ithaca, NY",car,
11-Oct-25,"Wauseon, OH",car,
12-Oct-25,"Chicago, IL",car,
18-Oct-25,"York, NE",car,
19-Oct-25,"Golden, CO",car,
20-Oct-25,"Panguitch, UT",car,
27-Oct-25, Bryce Canyon,car,
31-Oct-25,"Springdale, UT",car,
2-Nov-25,"Long Beach, CA",car,
10-Dec-25,"Stevenson Ranch, CA",car,
8-Feb-26,"Katy, TX",car,
14-Mar-26,"New Orleans, LA",car,
15-Mar-26,"Katy, TX",car,
28-Mar-26,"san antonio, tx",car,
29-Mar-26,"katy, tx",car,
1-Apr-26,"katy, tx",car,sold
